Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Sept 2021,,Oil,8.0,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,271,192,173,1.0,290,22,22,2.0,BLOCK 31,PENN UPPER,86.5,64.875,11.0,8.25
Sept 2021,,Oil,8.0,39805.0,"BLOCK 31, NW. (PENN UPPER)",ROADRUNNER 1,,,,459,83,0,,542,36,36,2.0,BLOCK 31,PENN UPPER,0.0,0.0,18.0,13.5
Sept 2021,,Oil,8.0,9908.0,C-BAR (SAN ANDRES),"WADDELL, W. N., ETAL",,,4405.0,0,0,0,,0,0,0,,C-BAR,SAN ANDRES,0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,690.0,CORDONA LAKE,"WADDELL, W.N. ET AL TR. -I-",,,,31,265,273,1.0,23,"4,696",4696,2.0,CORDONA LAKE,CORDONA LAKE,136.5,102.375,2348.0,1761.0
Sept 2021,,Oil,8.0,15557.0,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,24,168,177,1.0,15,363,363,2.0,CORDONA LAKE,DEVONIAN,88.5,66.375,181.5,136.125
Sept 2021,,Oil,8.0,20062.0,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803.0,35,295,304,1.0,26,134,134,2.0,CORDONA LAKE,TUBB 4500,152.0,114.0,67.0,50.25
Sept 2021,,Oil,8.0,19893.0,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,89,501,546,1.0,44,138,138,2.0,CORDONA LAKE,DEV.,273.0,204.75,69.0,51.75
Sept 2021,,Oil,8.0,19608.0,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,249,"1,236",1377,1.0,108,"7,183",7183,2.0,CORDONA LAKE,DEV.,688.5,516.375,3591.5,2693.625
Sept 2021,Y,Oil,8.0,20417.0,"COWDEN, NORTH",BLOCK 9 UNIT,,,,162,0,0,,0,0,0,,COWDEN,"COWDEN, NORTH",0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,53786.0,CRAWAR (SAN ANDRES CONS.),MAN OF WAR,,,7903.0,0,0,0,,0,0,0,,CRAWAR,SAN ANDRES CONS.,0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,17168.0,DELL (SAN ANDRES),WADDELL,,,,76,82,0,,158,0,0,,DELL,SAN ANDRES,0.0,0.0,0.0,0.0
Sept 2021,,Oil,8.0,1224.0,DUNE,"WADDELL, W. N.",,T,,"1,570","12,298",7114,0.0,"1,250","5,116",5116,2.0,DUNE,DUNE,3557.0,2667.75,2558.0,1918.5
