Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Jun 2021,,Oil,08,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,286,153,349,1.0,90,15,15,2.0,BLOCK 31,PENN UPPER,174.5,130.875,7.5,5.625
Jun 2021,,Oil,08,39805.0,"BLOCK 31, NW. (PENN UPPER)",ROADRUNNER 1,,,,232,60,0,,292,45,45,2.0,BLOCK 31,PENN UPPER,0.0,0.0,22.5,16.875
Jun 2021,,Oil,08,9908.0,C-BAR (SAN ANDRES),"WADDELL, W. N., ETAL",,,4405.0,0,0,0,,0,0,0,,C-BAR,SAN ANDRES,0.0,0.0,0.0,0.0
Jun 2021,,Oil,08,690.0,CORDONA LAKE,"WADDELL, W.N. ET AL TR. -I-",,,,86,291,328,1.0,49,"6,438",6438,2.0,CORDONA LAKE,CORDONA LAKE,164.0,123.0,3219.0,2414.25
Jun 2021,,Oil,08,15557.0,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,27,174,172,1.0,29,447,447,2.0,CORDONA LAKE,DEVONIAN,86.0,64.5,223.5,167.625
Jun 2021,,Oil,08,20062.0,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803.0,6,254,217,1.0,43,50,50,2.0,CORDONA LAKE,TUBB 4500,108.5,81.375,25.0,18.75
Jun 2021,,Oil,08,19893.0,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,109,562,576,1.0,95,24,24,2.0,CORDONA LAKE,DEV.,288.0,216.0,12.0,9.0
Jun 2021,,Oil,08,19608.0,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,210,"1,109",1131,1.0,188,"7,005",7005,2.0,CORDONA LAKE,DEV.,565.5,424.125,3502.5,2626.875
Jun 2021,Y,Oil,08,20417.0,"COWDEN, NORTH",BLOCK 9 UNIT,,,,179,0,0,,179,0,0,,COWDEN,"COWDEN, NORTH",0.0,0.0,0.0,0.0
Jun 2021,,Oil,08,53786.0,CRAWAR (SAN ANDRES CONS.),MAN OF WAR,,,7903.0,0,0,0,,0,0,0,,CRAWAR,SAN ANDRES CONS.,0.0,0.0,0.0,0.0
Jun 2021,,Oil,08,17168.0,DELL (SAN ANDRES),WADDELL,,,,118,94,165,1.0,47,0,0,,DELL,SAN ANDRES,82.5,61.875,0.0,0.0
