Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
Oct 2021,,Gas,8.0,35665.0,BLOCK 27 (MCKEE),"WADDELL, W. N., ET AL",  896  ,,,0,0,0,,0,"1,213",1213,2.0,BLOCK 27,MCKEE,0.0,0.0,606.5,454.875
Oct 2021,,Oil,8.0,21511.0,"BLOCK 31, NW. (PENN UPPER)","WADDELL, W. N.",,,3805.0,290,223,170,1.0,343,22,22,2.0,BLOCK 31,PENN UPPER,85.0,63.75,11.0,8.25
Oct 2021,,Oil,8.0,39805.0,"BLOCK 31, NW. (PENN UPPER)",ROADRUNNER 1,,,,542,82,360,1.0,264,36,36,2.0,BLOCK 31,PENN UPPER,180.0,135.0,18.0,13.5
Oct 2021,,Oil,8.0,9908.0,C-BAR (SAN ANDRES),"WADDELL, W. N., ETAL",,,4405.0,0,0,0,,0,0,0,,C-BAR,SAN ANDRES,0.0,0.0,0.0,0.0
Oct 2021,Y,Oil,8.0,690.0,CORDONA LAKE,"WADDELL, W.N. ET AL TR. -I-",,,,23,78,92,1.0,9,"5,792",5792,2.0,CORDONA LAKE,CORDONA LAKE,46.0,34.5,2896.0,2172.0
Oct 2021,,Oil,8.0,15557.0,"CORDONA LAKE, NORTH (DEVONIAN)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,15,145,143,1.0,17,550,550,2.0,CORDONA LAKE,DEVONIAN,71.5,53.625,275.0,206.25
Oct 2021,,Oil,8.0,20062.0,"CORDONA LAKE, NORTH (TUBB 4500)","WADDELL, W. N. ET AL TR. I",,,3803.0,26,35,57,1.0,4,5,5,2.0,CORDONA LAKE,TUBB 4500,28.5,21.375,2.5,1.875
Oct 2021,,Oil,8.0,19893.0,"CORDONA LAKE, SW. (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,44,449,440,1.0,53,123,123,2.0,CORDONA LAKE,DEV.,220.0,165.0,61.5,46.125
Oct 2021,,Oil,8.0,19608.0,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397.0,108,"1,455",1392,1.0,171,"9,664",9664,2.0,CORDONA LAKE,DEV.,696.0,522.0,4832.0,3624.0
Oct 2021,Y,Oil,8.0,20417.0,"COWDEN, NORTH",BLOCK 9 UNIT,,,,293,0,0,,179,0,0,,COWDEN,"COWDEN, NORTH",0.0,0.0,0.0,0.0
Oct 2021,,Oil,8.0,53786.0,CRAWAR (SAN ANDRES CONS.),MAN OF WAR,,,7903.0,0,0,0,,0,0,0,,CRAWAR,SAN ANDRES CONS.,0.0,0.0,0.0,0.0
Oct 2021,,Oil,8.0,17168.0,DELL (SAN ANDRES),WADDELL,,,,158,99,170,1.0,87,0,0,,DELL,SAN ANDRES,85.0,63.75,0.0,0.0
Oct 2021,,Oil,8.0,1224.0,DUNE,"WADDELL, W. N.",,T,,"1,250","12,304",7203,0.0,"1,803","7,463",7463,2.0,DUNE,DUNE,3601.5,2701.125,3731.5,2798.625
Oct 2021,,,8.0,1224.0,DUNE,"WADDELL, W. N.",,,5399.0,6,126,124,1.0,8,,0,,DUNE,DUNE,62.0,46.5,0.0,0.0
Oct 2021,,,8.0,1224.0,DUNE,"WADDELL, W. N.",,,5424.0,910,"9,424",7203,0.0,"1,328",,0,,DUNE,DUNE,3601.5,2701.125,0.0,0.0
Oct 2021,,,8.0,1224.0,DUNE,"WADDELL, W. N.",,,7764.0,158,842,859,1.0,134,,0,,DUNE,DUNE,429.5,322.125,0.0,0.0
Oct 2021,,,8.0,1224.0,DUNE,"WADDELL, W. N.",,,9999.0,176,"1,912",1755,1.0,333,,0,,DUNE,DUNE,877.5,658.125,0.0,0.0
