"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Nov 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,N/A,0,,,0,0,,
Y,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,N/A,0,,,0,0,,
Y,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,N/A,0,,,0,0,,
Y,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,N/A,0,,,0,0,,
Y,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,N/A,0,,,0,0,,
Y,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,N/A,0,,,0,0,,
Y,Gas,08,130531,"KERMIT (YATES)",STATE-WALTON,"   85  ",,,N/A,0,,,0,0,,
Y,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,N/A,0,,,0,0,,
Y,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,N/A,0,,,0,0,,
Y,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,N/A,0,,,0,0,,
Y,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,N/A,0,,,0,0,,
Y,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,N/A,0,,,0,0,,
Y,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,N/A,0,,,0,0,,
Y,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,N/A,0,,,0,0,,
Y,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,N/A,0,,,0,0,,
Y,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,N/A,0,,,0,0,,
Y,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,N/A,0,,,0,0,,
Y,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,N/A,0,,,0,0,,
Y,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,N/A,0,,,0,0,,
Y,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,N/A,0,,,0,0,,
Y,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,N/A,0,,,0,0,,
Y,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,N/A,0,,,0,0,,
Y,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,N/A,0,,,0,0,,
Y,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,N/A,0,,,0,0,,
Y,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,N/A,0,,,0,0,,
Y,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,286,0,,,203,0,,
Y,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,485,0,,,545,0,,
Y,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,106,0,,,69,0,,
Y,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
Y,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,141,0,,,8,0,,
Y,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,N/A,0,,,0,0,,
Y,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,N/A,0,,,0,0,,
Y,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,686,0,,,785,0,,
Y,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,130,0,,,185,0,,
Y,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,N/A,0,,,0,0,,
Y,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,N/A,0,,,0,0,,
Y,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"1,722",0,,,135,0,,
Y,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,391,0,,,482,0,,
Y,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,89,0,,,0,0,,
Y,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,N/A,0,,,0,0,,
Y,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,309,0,,,249,0,,
Y,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,N/A,0,,,0,0,,
Y,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
Y,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,132,0,,,111,0,,
Y,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,231,0,,,528,0,,
Y,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,19,75,79,"   00  ",15,0,,
Y,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,79,330,342,"   00  ",67,0,,
Y,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,237,998,"1,033","   00  ",202,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,66,28,,,94,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,238,706,728,"   01  ",216,"1,953","1,953","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,489,"2,627","2,529","   01  ",587,"6,486","6,486","   02  "
