"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Aug 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,N/A,0,,,0,0,,
Y,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,N/A,0,,,0,0,,
Y,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,N/A,0,,,0,0,,
Y,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,N/A,0,,,0,0,,
Y,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,N/A,0,,,0,0,,
Y,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,N/A,0,,,0,0,,
Y,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,N/A,0,,,0,0,,
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,0,,
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
Y,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,214,0,,,203,0,,
Y,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,715,0,,,545,0,,
Y,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,126,0,,,69,0,,
Y,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
Y,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,107,0,,,8,0,,
Y,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,N/A,0,,,0,0,,
Y,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,N/A,0,,,0,0,,
Y,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,525,0,,,785,0,,
Y,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,176,0,,,185,0,,
Y,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,N/A,0,,,0,0,,
Y,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,N/A,0,,,0,0,,
Y,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"1,964",0,,,"2,169",0,,
Y,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,334,0,,,482,0,,
Y,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,89,0,,,52,0,,
Y,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,N/A,0,,,0,0,,
Y,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,239,0,,,249,0,,
Y,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,N/A,0,,,0,0,,
,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
Y,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,104,0,,,111,0,,
Y,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,263,0,,,528,0,,
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,22,56,59,"   00  ",19,5,5,"   02  "
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,108,287,299,"   00  ",96,14,14,"   02  "
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,229,656,665,"   00  ",220,26,26,"   02  "
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,151,30,,,181,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,434,664,849,"   01  ",249,"2,618","2,618","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,665,"2,376","2,470","   01  ",571,"7,093","7,093","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,547,"1,825","1,917","   01  ",455,"7,416","7,416","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,477,"1,061","1,197","   01  ",341,"2,031","2,031","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,225,51,,,276,135,135,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,147,52,,,199,120,120,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,186,347,385,"   01  ",148,"1,434","1,434","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,504,"1,039","1,220","   01  ",323,"3,014","3,014","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,155,360,361,"   01  ",154,"1,094","1,094","   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,48,131,123,"   01  ",56,378,378,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,320,240,339,"   01  ",221,"1,497","1,497","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,10,63,15,"   01  ",58,310,310,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,383,383,"   02  "
,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,"1,512","1,512","   02  "
,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,671,671,"   02  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
,Oil,08,50100,"MONAHANS (CLEAR FORK)",DOUBLOON,,,,172,0,,,172,0,,
,Oil,08,52655,"MONAHANS (CLEAR FORK)","OCRACOKE ISLAND",,,,85,0,,,85,0,,
,Oil,08,51099,"MONAHANS, NORTH","SEALY SMITH FOUNDATION -A-",,,8814,637,"6,392","6,280","   01  ",749,"59,053","59,053","   02  "
,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,39,532,528,"   01  ",43,"1,478","1,478","   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,88,28,,,116,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,614,"2,101","2,036","   01  ",679,"10,708","10,708","   02  "
