"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,19608,"CORDONA LAKE, WEST (DEV.)","WADDELL, W.N. ET AL TR. -I-",,,5397,163,698,619,"   01  ",242,"2,684","2,684","   02  "
,Oil,08,20417,"COWDEN, NORTH","BLOCK 9 UNIT",,,,315,268,351,"   01  ",232,0,,
,Oil,08,53786,"CRAWAR (SAN ANDRES CONS.)","MAN OF WAR",,,7903,0,0,,,0,0,,
Y,Oil,08,17168,"DELL (SAN ANDRES)",WADDELL,,,,144,0,,,144,0,,
,Oil,08,01224,DUNE,"WADDELL, W. N.",,T,,"1,701","8,758","5,068","   00  ","1,644","3,809","3,809","   02  "
,,,,,,,,,,,"3,747","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5399,4,68,66,"   01  ",6,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,5424,"1,018","6,441","5,068","   00  ","1,324",,,
,,,,,,,,,,,"1,067","   01  ",,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,7764,184,622,695,"   01  ",111,,,
,,08,01224,DUNE,"WADDELL, W. N.",,,9999,495,"1,627","1,919","   01  ",203,,,
,Oil,08,11915,"DUNE (WOLFCAMP)","WADDELL, W. N.",,,5399,0,0,,,0,0,,
,Oil,08,20732,"EDWARDS -04-, S. (7900)","WADDELL, W. N.",,,,0,0,,,0,0,,
,Oil,08,25313,"G. P. M. (PENN.)","HOGG, FAY HUNTER",,,,66,80,,,146,585,585,"   02  "
,Gas,08,036023,"GOLDSMITH, EAST (GRAYBURG)","ECTOR -AU- FEE","    2  ",,,115,0,,,115,0,,
,Oil,08,36820,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER -N-",,,,0,0,,,0,0,,
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,139,119,155,"   01  ",103,93,93,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,583,847,"1,170","   01  ",260,"14,616","14,616","   02  "
,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,103,29,,,132,795,795,"   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,188,86,185,"   01  ",89,"1,061","1,061","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,707,707,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,150,150,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,553","2,553","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,414","1,414","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,164,164,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,233,233,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,29,29,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,62,62,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,147,147,"   02  "
,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,0,0,,,0,0,,
,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,0,0,,,0,168,168,"   02  "
,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,0,0,,,0,236,236,"   02  "
,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,0,0,,,0,171,171,"   02  "
,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,0,0,,,0,0,,
,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,0,0,,,0,125,125,"   02  "
,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,0,0,,,0,53,53,"   02  "
,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,0,0,,,0,162,162,"   02  "
,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,0,0,,,0,298,298,"   02  "
,Gas,08,128948,"KERMIT (YATES)","WALTON, J. B.","  330  ",,,0,0,,,0,21,21,"   02  "
,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,0,0,,,0,16,16,"   02  "
,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,0,0,,,0,54,54,"   02  "
,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,0,0,,,0,690,690,"   02  "
,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,0,0,,,0,20,20,"   02  "
,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,0,0,,,0,57,57,"   02  "
,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,0,0,,,0,192,192,"   02  "
,Gas,08,130531,"KERMIT (YATES)",STATE-WALTON,"   85  ",,,0,0,,,0,349,349,"   02  "
,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,0,0,,,0,38,38,"   02  "
,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,0,0,,,0,201,201,"   02  "
,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,0,0,,,0,761,761,"   02  "
,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,0,0,,,0,160,160,"   02  "
,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,0,0,,,0,389,389,"   02  "
,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,0,0,,,0,869,869,"   02  "
,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,0,0,,,0,119,119,"   02  "
,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,0,0,,,0,238,238,"   02  "
,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,0,0,,,0,182,182,"   02  "
,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,0,0,,,0,174,174,"   02  "
,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,0,0,,,0,404,404,"   02  "
,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,0,0,,,0,0,,
,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,0,0,,,0,251,251,"   02  "
,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,0,0,,,0,8,8,"   02  "
,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,0,0,,,0,178,178,"   02  "
,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,0,0,,,0,48,48,"   02  "
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,24,24,"   02  "
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,213,334,334,"   01  ",213,461,461,"   02  "
,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,557,825,749,"   01  ",633,499,499,"   02  "
,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,56,64,45,"   01  ",75,35,35,"   02  "
,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,5,13,13,"   01  ",5,12,12,"   02  "
,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,0,0,,,0,0,,
,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,0,0,,,0,0,,
,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,585,"1,951","2,146","   01  ",390,"9,864","9,864","   02  "
,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,148,177,121,"   01  ",204,121,121,"   02  "
,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,0,0,,,0,0,,
,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,0,0,,,0,0,,
,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"1,854","2,112","2,565","   01  ","1,401",441,441,"   02  "
,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,357,828,806,"   01  ",379,"5,027","5,027","   02  "
,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,52,0,,,52,92,92,"   02  "
,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,0,0,,,0,0,,
,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,322,219,343,"   01  ",198,145,145,"   02  "
,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,0,0,,,0,0,,
,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
,Oil,08,36333,"KEYSTONE (SAN ANDRES)","TRINITY ""A"" UNIT",,,,0,0,,,0,0,,
