Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Mar 2021,Waddell Ranch,74075,55556,61.36,3.38,157614,118211
Mar 2021,Texas Royalties,17920,15902,58.09,6.86,12115,10598
