Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Aug 2021,Waddell Ranch,108522,81392,66.66,3.44,257857,193393
Aug 2021,Texas Royalties,17941,15927,66.39,8.01,9871,8757
