Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
May 2021,Waddell Ranch,94554,70916,63.97,2.61,194689,146017
May 2021,Texas Royalties,19114,16949,61.94,6.62,10523,9333
