Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Jun 2021,Waddell Ranch,90258,67694,70.22,4.21,220120,165090
Jun 2021,Texas Royalties,17820,15854,69.06,7.89,9894,8797
