Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Apr 2021,Waddell Ranch,80362,60272,59.93,1.91,259608,194706
Apr 2021,Texas Royalties,16339,14344,60.65,8.34,12869,11276
