Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Jul 2021,Waddell Ranch,102735,77051,71.32,3.45,249359,187019
Jul 2021,Texas Royalties,17690,15772,71.11,8.09,11870,10570
