Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Jan 2021,Waddell Ranch,61828,46371,50.16,2.20,218264,163653
Jan 2021,Texas Royalties,16211,13882,49.13,5.68,8828,7560
