Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Oct 2021,Waddell Ranch,133626,100220,80.18,8.89,369258,276944
Oct 2021,Texas Royalties,18096,16200,74.85,7.46,12056,10787
