Date,Property,Gross Oil Volume (PBT News),Net Oil Volume (PBT News),Average Oil Price,Average Gas Price,Gross Gas Volume (PBT News),Net Gas Volume (PBT News)
Feb 2021,Waddell Ranch,50757,38068,58.09,2.28,190570,142928
Feb 2021,Texas Royalties,19947,17556,52.80,5.89,12461,10948
